field title,field author,field isbn,field isbn13,field asin,field num_pages,field avg_rating,field num_ratings,field date_pub,field date_pub_edition,field rating,field shelves,field review,field notes,field comments,field votes,field read_count,field date_started,field date_read,field date_added,field owned,field format,field actions
"title    
      All In
        (The Naturals, #3)","author      Barnes, Jennifer Lynn
        *",isbn    1484716434,isbn13    9781484716434,asin    1484716434,"num pages      
        378
        pp",avg rating    4.34,"num ratings    106,659","date pub      Nov 03, 2015","date pub edition      Nov 03, 2015","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Apr 19, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      Roll of Thunder, Hear My Cry
        (Logans, #4)","author      Taylor, Mildred D.",isbn    014034893X,isbn13    9780140348934,asin    014034893X,"num pages      
        288
        pp",avg rating    3.89,"num ratings    127,337","date pub      Jan 01, 1976","date pub edition      Oct 01, 1991","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
**spoiler alert** This is an excellent book. Cassie, the protagonist, is a young girl living in Mississippi during the Depression. Her family works th
  **spoiler alert** This is an excellent book. Cassie, the protagonist, is a young girl living in Mississippi during the Depression. Her family works their own land, but many of the African-Americans work fields that belong to rich white people. When two men are burned alive in their home, one dying immediately and one later, Cassie's parents initiate a boycott of the store owned by the people responsible for the lynching. TJ, a friend of Cassie's brother, ends up dying after two white friends let him get caught stealing and take the blame for it. I loved the way this book portrayed the racism in the south. I liked how Taylor portrayed that it was complex, and individuals behaved differently from the crowd. I loved Cassie's family, the way her parents tried to protect her from the worst of the racism, the way they were together. I loved Big Mama and Uncle Hammer, their strong personalities and their relationships with Cassie. 
  ...more","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Apr 19, 2017",owned,"format
        Paperback","actions
        
          view (with text)"
"title    
      Hole in My Life","author      Gantos, Jack
        *",isbn    0374430896,isbn13    9780374430894,asin    0374430896,"num pages      
        200
        pp",avg rating    3.77,"num ratings    7,931","date pub      Mar 26, 2002","date pub edition      Sep 08, 2004","Jessica's rating
        it was ok","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
**spoiler alert** ""Hole in my Life"" was not my favorite book. It was an autobiographical account of Gantos during his senior year of high school. He l
  **spoiler alert** ""Hole in my Life"" was not my favorite book. It was an autobiographical account of Gantos during his senior year of high school. He left his family on the Virgin Islands to finish school in Florida. While there, he became very involved in drugs and alcohol. He returned to his family after finishing school and become more involved in drugs during a time of racial tension on the Virgin Islands. When he's offered ten grand to help sail a boat filled with drugs to New York, he agrees. On the boat, he spends the majority of his time high. Once in New York, he helps distribute the drugs, then gets caught along with the others who were working with him. He's imprisoned for around a year before being released. The book was frustrating to me because it seemed like Gantos' felt no guilt for anything he'd done and only counted it all as good because he ended up seriously writing by the end. It didn't cause me to reflect or change my thinking about anything, instead leaving me frustrated and regretful that I'd wasted my time reading it.
  ...more","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Apr 19, 2017",owned,"format
        Paperback","actions
        
          view (with text)"
"title    
      The Outsiders","author      Hinton, S.E.
        *",isbn    0670532576,isbn13    9780670532575,asin    0670532576,"num pages      
        208
        pp",avg rating    4.13,"num ratings    1,459,280","date pub      Apr 24, 1967","date pub edition      Sep 01, 1997","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
**spoiler alert** Hinton's now-class YA fiction is centered on Ponyboy, a fourteen-year-old ""greaser"" whose family consists of his brothers and a hand
  **spoiler alert** Hinton's now-class YA fiction is centered on Ponyboy, a fourteen-year-old ""greaser"" whose family consists of his brothers and a handful of other gang members. The action centers around Johnny, who has been previously attacked and beaten up by the Socs, the rich kids from the other side of the tracks. When the Socs attack Johnny and Ponyboy, Johnny fights back and ends up killing one of the Socs. Johnny and Ponyboy go on the run with help from Dallas, another gang member. When they're set to return, the church they've been hiding in goes up in flames, and the two boys, along with Dallas, go inside to save the children. Johnny's back is broken in the excitement, and he ultimately dies. Dallas is heartbroken and commits suicide. Ponyboy, after all this, learns not to fight so much with his brothers. Hinton mirrored her own life in the book and it comes out in the description of how Ponyboy feels trapped by his label, even though he doesn't actively work to buck the label. The relationship between Ponyboy and his brothers rang true. This would be a good book for middle schoolers and some high schoolers, good for teaching about seeing past labels and focusing on what's most important.
  ...more","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Apr 19, 2017",owned,"format
        Mass Market Paperback","actions
        
          view (with text)"
"title    
      The Chocolate War
        (Chocolate War, #1)","author      Cormier, Robert",isbn    0375829873,isbn13    9780375829871,asin    0375829873,"num pages      
        267
        pp",avg rating    3.49,"num ratings    45,969",date pub      1974,"date pub edition      Sep 14, 2004","Jessica's rating
        did not like it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
**spoiler alert** I hated this book. I would never, ever have read it for class, and even then, I regret reading it. People go on and on about Cormier
  **spoiler alert** I hated this book. I would never, ever have read it for class, and even then, I regret reading it. People go on and on about Cormier's ""beautiful"" prose--I didn't see it. It was fine, but it sure didn't redeem the plot. Not that it was badly done, and I'm sure Cormier did exactly what he intended to do . . . if he intended to paint a picture of despair, in which those who stand up really shouldn't have done that, and bullies get and keep all the power. Great message, Cormier. I understand that the point is to be ""bleak."" The thing I don't understand is why such a novel would be written. I've been told that it's more realistic and therefore good because sometimes when you stand up against corruption, it doesn't go well. I just didn't even read Jerry's rebellion as standing up for anything--it more seemed that he wanted to ""disturb the universe"" (which I'm sure Cormier was fully aware was from ""The Lovesong of J. Alfred Prufrock"" but it sounds cooler to say ""The Wasteland"" so the boy just assumed it was from ""The Wasteland"") for the sake of disturbing the universe. Not really because he thought the bullies were doing a wrong thing, or that he wanted to stop them. Just . . . to disturb. I understand that I'm supposed to find the ""virtuous, lovely or of good report or praiseworthy"" but I didn't see it. I can't turn off my ""judging"" and just try to see what the author was trying to do and somehow find something positive, because I think that the author's goal was to explore despair and darkness without really coming out the better for it. I would never recommend this to anyone of any age.
  ...more","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Apr 16, 2017",owned,"format
        Paperback","actions
        
          view (with text)"
"title    
      Shipwreck at the Bottom of the World: The Extraordinary True Story of Shackleton and The Endurance","author      Armstrong, Jennifer",isbn    0375810498,isbn13    9780375810497,asin    0375810498,"num pages      
        144
        pp",avg rating    3.95,"num ratings    3,978","date pub      Nov 17, 1998","date pub edition      Sep 12, 2000","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
**spoiler alert** Armstrong's nonfiction book follows the genuinely extraordinary tale of Shackleton's Antarctic expedition. She tracks their departur
  **spoiler alert** Armstrong's nonfiction book follows the genuinely extraordinary tale of Shackleton's Antarctic expedition. She tracks their departure from London, their stops, their time locked in ice, and the final journey from Elephant Island to Stromness. The actions and doings of the men are catalogued in an interesting way, reading more like a novel than just a recounting of historical events. It is a condensed telling of the tale, leaving out many details, as is necessary for the shorter attention span of Armstrong's intended audience. Armstrong's storytelling is excellent, and the details chosen weave a vivid picture of all the dangers Shackleton and his crew faced and how they overcame them. This would be a good book for anyone old enough to understand it, both educational and exciting. 
  ...more","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Apr 15, 2017",owned,"format
        Paperback","actions
        
          view (with text)"
"title    
      Monster","author      Myers, Walter Dean",isbn    0064407314,isbn13    9780064407311,asin    0064407314,"num pages      
        281
        pp",avg rating    3.73,"num ratings    73,229","date pub      Apr 21, 1999","date pub edition      May 01, 2001","Jessica's rating
        it was ok","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
**spoiler alert** So . . . if you love post modernism, this book is for you. If you love books that leave you thinking ""wha . . ."" then this book is f
  **spoiler alert** So . . . if you love post modernism, this book is for you. If you love books that leave you thinking ""wha . . ."" then this book is for you. If you like books where basically every character is a jerk (except the English teacher, of course), then this book is for you. ""Monster"" is the story of Steve and his trial for being an accomplice to murder. He is ultimately acquitted but it's pretty up in the air for much of the story. The reader feels something like the jury, trying to decide if Steve is innocent or not, never knowing for sure. Steve's experience in jail while waiting for the trial is less than pleasant, which I imagine is quite accurate. The most interesting part of this book was the exploration of how a person decides to commit a crime, and the idea that it isn't just one day thinking, ""Well, I'm probably going to go rob a convenience store and possibly commit murder today."" It's a series of decisions. The reason I only gave it two stars, however, is because for me it didn't really resonate. Everyone in the book annoyed me, Steve's family annoyed me a lot, his lawyer annoyed me, the way no one in the whole book (again, other than the English teacher) seemed like a good person annoyed me . . . I suppose that was Myers' intention and I don't necessary mean to disparage it, I just didn't personally like it. I can see why it's an award-winning book, though. The way it's told is interesting, too, like a film. Lets the reader see how Steve needs to distance himself from what happened. I don't think readers younger than sixteen or so would get much out of this book because of the disjointed way it's told. 
  ...more","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Apr 15, 2017",owned,"format
        Paperback","actions
        
          view (with text)"
"title    
      Whirligig","author      Fleischman, Paul",isbn    0440228352,isbn13    9780440228356,asin    0440228352,"num pages      
        144
        pp",avg rating    3.35,"num ratings    8,610","date pub      May 15, 1998","date pub edition      Nov 09, 1999","Jessica's rating
        it was ok","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
**spoiler alert** The concept of ""Whirligig"" was interesting--it dealt with repentance and right and wrong and how to overcome past mistakes. However,
  **spoiler alert** The concept of ""Whirligig"" was interesting--it dealt with repentance and right and wrong and how to overcome past mistakes. However, I found the prose stiff and unrealistic and the author's conclusions about repentance to be unhelpful and impractical. Brent has moved to a new town and gets himself invited to a party, but he wears the wrong clothes (one unrealism: a high school kegger party being ""cool"" in which the person who holds it demands everyone wears black and white and play giant chess) and is humiliated by a girl he had been trying to pursue. In response, he drinks heavily and attempts to commit suicide by letting go of his car's wheel. Instead of dying, he kills another girl. Her mother (in another unlikely move) requests that he builds whirligigs in the four corners of the United States because then people will smile like they smiled when they saw her daughter. He agrees, and a sixteen-year-old treks around the US building whirligigs. His chapters are interposed with the lives of those who are affected by his whirligigs (including teenage girls whose dialogue is not even remotely related to any teenage dialogue I have ever heard). Ultimately, Brent feels that he can meet random strangers, make friends, and then feel comfortable with never, ever seeing them again, but somehow becoming better for the depthless acquaintances. As to anything virtuous, lovely, of good report, or praiseworthy about this book? It is a good example of postmodernism, I suppose. The descriptions are clear and concise. The variety of characters is interesting, and the multiple voices distinct from each other. This book would probably be appropriate for readers age 13 and up.
  ...more","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Apr 15, 2017",owned,"format
        Mass Market Paperback","actions
        
          view (with text)"
"title    
      American Born Chinese","author      Yang, Gene Luen
        *",isbn    1596431520,isbn13    9781596431522,asin    1596431520,"num pages      
        240
        pp",avg rating    3.89,"num ratings    98,176","date pub      Sep 01, 2006","date pub edition      Sep 05, 2006","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
**spoiler alert** American Born Chinese follows three seemingly unrelated storylines--The Monkey King, who wants to be powerful and respected as a god
  **spoiler alert** American Born Chinese follows three seemingly unrelated storylines--The Monkey King, who wants to be powerful and respected as a god; Jin Wang, a second-generation child of immigrants struggling to fit in at his mostly-white school; and Danny, whose Chinese cousin Chin-Kee shows up every year and humiliates Danny by displaying many American stereotypes of Chinese people. It turns out that the monkey king, whose journey leads him to understand that he is best as a monkey, accepting himself as he is, is the father of one of Jin Wang's friends. Jin Wang in turn is Danny, as Jin was unable to pursue the girl of his dreams because he was Chinese. In the end, Jin is able to accept himself as he is, giving up his ""Danny"" persona and embracing his true identity. I loved this book so much. The graphic novel aspect made it fast-paced, though the reader could slow down and learn a lot more from the images. It allowed a lot to go unsaid but still be part of the story, letting Yang's messages of identity and racism to be clear without being didactic. The interweaving of the stories and the eventual ""aha!"" moment kept interest, as well as letting the reader draw the conclusion without being dragged to it. I would recommend this book for 14-year-olds or older, as the themes are a little complicated for younger children. 
  ...more","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Apr 15, 2017",owned,"format
        Paperback","actions
        
          view (with text)"
"title    
      Battle Cry of Freedom: The Civil War Era","author      McPherson, James M.",isbn    019516895X,isbn13    9780195168952,asin    019516895X,"num pages      
        867
        pp",avg rating    4.39,"num ratings    32,403","date pub      Feb 25, 1988","date pub edition      Dec 11, 2003","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      Jan 10, 2023


            
            
                  
      Jan 10, 2023","date read
    
            
                  
      Jan 20, 2023


            
            
                  
      Jan 20, 2023","date added
    
    Apr 01, 2017",owned,"format
        Paperback","actions
        
          view"
"title    
      Seriously Wicked
        (Seriously Wicked, #1)","author      Connolly, Tina
        *",isbn    0765375168,isbn13    9780765375162,asin    0765375168,"num pages      
        208
        pp",avg rating    3.50,num ratings    974,"date pub      May 05, 2015","date pub edition      May 05, 2015",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Mar 24, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      United
        (Alienated, #3)","author      Landers, Melissa
        *",isbn    0997086807,isbn13    9780997086805,asin    0997086807,"num pages      
        317
        pp",avg rating    3.79,"num ratings    2,450","date pub      Aug 02, 2016","date pub edition      Aug 02, 2016",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Mar 08, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      Invaded
        (Alienated, #2)","author      Landers, Melissa
        *",isbn    1423169492,isbn13    9781423169499,asin    1423169492,"num pages      
        356
        pp",avg rating    3.93,"num ratings    7,397","date pub      Feb 03, 2015","date pub edition      Feb 03, 2015",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Mar 09, 2017","date read
    
            
                  
      Apr 2017","date added
    
    Mar 08, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Lady of Bolton Hill","author      Camden, Elizabeth
        *",isbn    0764208942,isbn13    9780764208942,asin    0764208942,"num pages      
        336
        pp",avg rating    3.95,"num ratings    5,358","date pub      Apr 23, 2011","date pub edition      Jun 01, 2011","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Mar 06, 2017",owned,"format
        Paperback","actions
        
          view"
"title    
      Juliet","author      Fortier, Anne
        *",isbn    0345516109,isbn13    9780345516107,asin    0345516109,"num pages      
        447
        pp",avg rating    3.92,"num ratings    28,122","date pub      Jan 01, 2010","date pub edition      Aug 24, 2010","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Mar 06, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      Wintersong
        (Wintersong, #1)","author      Jae-Jones, S.
        *",isbn    1250079217,isbn13    9781250079213,asin    1250079217,"num pages      
        436
        pp",avg rating    3.54,"num ratings    32,939","date pub      Feb 07, 2017","date pub edition      Feb 07, 2017",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Apr 17, 2020","date read
    
            
                  
      Apr 20, 2020","date added
    
    Feb 21, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Gospel Cinderella","author      Thomas, Joyce Carol",isbn    0060253878,isbn13    9780060253875,asin    0060253878,"num pages      
        40
        pp",avg rating    3.76,num ratings    119,"date pub      May 01, 2004","date pub edition      May 11, 2004","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Persian Cinderella","author      Climo, Shirley",isbn    0064438538,isbn13    9780064438537,asin    0064438538,"num pages      
        32
        pp",avg rating    3.95,"num ratings    1,075","date pub      Apr 27, 1999","date pub edition      Aug 07, 2001","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Paperback","actions
        
          view"
"title    
      The Egyptian Cinderella","author      Climo, Shirley",isbn    0064432793,isbn13    9780064432795,asin    0064432793,"num pages      
        32
        pp",avg rating    3.93,"num ratings    2,066","date pub      Sep 15, 1989","date pub edition      Feb 28, 1992","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Paperback","actions
        
          view"
"title    
      If I Have a Wicked Stepmother, Where's My Prince?","author      Kantor, Melissa
        *",isbn    0786809604,isbn13    9780786809608,asin    0786809604,"num pages      
        283
        pp",avg rating    3.66,"num ratings    5,097","date pub      Aug 26, 2005","date pub edition      Aug 24, 2005","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      Cinderella","author      Bell, Anthea",isbn    0735814864,isbn13    9780735814868,asin    0735814864,"num pages      
        32
        pp",avg rating    4.23,"num ratings    10,980",date pub      1812,"date pub edition      Apr 01, 2002","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Paperback","actions
        
          view"
"title    
      Cinderella","author      Craft, Kinuko Y.",isbn    1587170051,isbn13    9781587170058,asin    1587170051,"num pages      
        32
        pp",avg rating    4.29,"num ratings    6,482","date pub      Aug 01, 2000","date pub edition      Aug 01, 2000","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Well at the End of the World","author      San Souci, Robert D.",isbn    1587172127,isbn13    9781587172120,asin    1587172127,"num pages      
        44
        pp",avg rating    4.12,num ratings    142,"date pub      Sep 01, 1999","date pub edition      Aug 05, 2004","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      Fa Mulan: The Story of a Woman Warrior","author      San Souci, Robert D.",isbn    0786814217,isbn13    9780786814213,asin    0786814217,"num pages      
        32
        pp",avg rating    3.87,num ratings    350,"date pub      Jun 15, 1998","date pub edition      Jan 01, 2000","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Paperback","actions
        
          view"
"title    
      Cendrillon: A Caribbean Cinderella","author      San Souci, Robert D.",isbn    0689848889,isbn13    9780689848889,asin    0689848889,"num pages      
        40
        pp",avg rating    4.07,"num ratings    1,819","date pub      Sep 01, 1999","date pub edition      Jan 01, 2002","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Paperback","actions
        
          view"
"title    
      Doomed Queen Anne
        (Young Royals, #3)","author      Meyer, Carolyn
        *",isbn    0152050868,isbn13    9780152050863,asin    0152050868,"num pages      
        240
        pp",avg rating    3.89,"num ratings    4,292","date pub      Oct 01, 2002","date pub edition      May 01, 2004","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Paperback","actions
        
          view"
"title    
      Marie Antoinette: Princess of Versailles, Austria, France, 1769","author      Lasky, Kathryn",isbn    0439076668,isbn13    9780439076661,asin    0439076668,"num pages      
        238
        pp",avg rating    3.91,"num ratings    9,823","date pub      Apr 30, 2000","date pub edition      Apr 28, 2000","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      Jahanara: Princess of Princesses, India, 1627","author      Lasky, Kathryn",isbn    0439223504,isbn13    9780439223508,asin    0439223504,"num pages      
        186
        pp",avg rating    3.87,"num ratings    4,837",date pub      Sep 2002,date pub edition      Sep 2002,"Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      Cinderella","author      Sanderson, Ruth",isbn    0316779652,isbn13    9780316779654,asin    0316779652,"num pages      
        32
        pp",avg rating    4.27,"num ratings    4,773","date pub      Nov 20, 2013","date pub edition      Apr 01, 2002","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      The Twelve Dancing Princesses","author      Sanderson, Ruth",isbn    0316770620,isbn13    9780316770620,asin    0316770620,"num pages      
        32
        pp",avg rating    4.32,"num ratings    1,103","date pub      Apr 01, 1990","date pub edition      Oct 01, 1993","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      not set","date read
    
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Paperback","actions
        
          view"
"title    
      The Crystal Mountain","author      Sanderson, Ruth",isbn    0316770922,isbn13    9780316770927,asin    0316770922,"num pages      
        32
        pp",avg rating    4.07,num ratings    119,"date pub      Sep 01, 1999","date pub edition      Sep 01, 1999","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Hardcover","actions
        
          view"
"title    
      Papa Gatto: An Italian Fairy Tale","author      Sanderson, Ruth",isbn    0316770736,isbn13    9780316770736,asin    0316770736,"num pages      
        1
        pp",avg rating    4.30,num ratings    235,"date pub      Apr 01, 1995","date pub edition      Oct 01, 1995","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      not set","date read
    
            
                  
      not set


            
            
                  
      not set","date added
    
    Feb 10, 2017",owned,"format
        Hardcover","actions
        
          view"
